Bandit,Reward,Algorithm
2,4.08063457870958,ThompsonSampling
2,3.6903616971291253,ThompsonSampling
2,2.726487969908529,ThompsonSampling
2,2.889360529189879,ThompsonSampling
2,2.296776637434977,ThompsonSampling
2,3.507713428869198,ThompsonSampling
2,4.365410854031936,ThompsonSampling
2,2.665492944705152,ThompsonSampling
2,3.6291657116715403,ThompsonSampling
2,3.6265566477619338,ThompsonSampling
2,3.2437672622525002,ThompsonSampling
2,2.172069901772507,ThompsonSampling
2,3.5069943799842402,ThompsonSampling
2,3.1170169218986583,ThompsonSampling
2,4.196651632533908,ThompsonSampling
2,4.80920759974207,ThompsonSampling
2,3.8412888969921863,ThompsonSampling
2,3.722143351651913,ThompsonSampling
2,2.9046786896691805,ThompsonSampling
2,3.2057214552224673,ThompsonSampling
2,1.806548144812616,ThompsonSampling
2,4.329582603509448,ThompsonSampling
2,2.763972152000697,ThompsonSampling
2,4.541763217193592,ThompsonSampling
2,2.334122418271046,ThompsonSampling
2,3.83453564285543,ThompsonSampling
2,1.5152131471502868,ThompsonSampling
2,3.619324599642531,ThompsonSampling
1,2.3354457537451054,ThompsonSampling
2,3.119019368032797,ThompsonSampling
2,2.7831572888200053,ThompsonSampling
2,2.9110728876395022,ThompsonSampling
2,0.34814830667955476,ThompsonSampling
2,3.2537486774455173,ThompsonSampling
2,2.454482593627878,ThompsonSampling
2,3.7670609385922518,ThompsonSampling
2,2.9815218010594124,ThompsonSampling
2,1.7410603690162205,ThompsonSampling
2,2.84338260110027,ThompsonSampling
2,5.200085961385254,ThompsonSampling
2,3.481905466162075,ThompsonSampling
2,2.7516214010485474,ThompsonSampling
2,3.122008493028522,ThompsonSampling
2,3.0083051845747875,ThompsonSampling
2,1.332008387159754,ThompsonSampling
2,1.94716589101189,ThompsonSampling
2,1.388325383354046,ThompsonSampling
2,2.0890896157279135,ThompsonSampling
2,2.590474791644647,ThompsonSampling
2,3.3033109700118555,ThompsonSampling
2,2.2724288189994666,ThompsonSampling
1,3.2538637905773666,ThompsonSampling
2,2.8476516642218836,ThompsonSampling
2,2.1268894957268687,ThompsonSampling
2,1.7920699916342808,ThompsonSampling
2,4.470708076127266,ThompsonSampling
2,2.5441475378573397,ThompsonSampling
2,2.983586632348228,ThompsonSampling
2,4.201588297315075,ThompsonSampling
2,2.527130909389066,ThompsonSampling
2,3.2482151967298187,ThompsonSampling
2,2.6479006112550634,ThompsonSampling
2,2.5018418124017696,ThompsonSampling
2,3.4397768942197353,ThompsonSampling
2,4.257324421716872,ThompsonSampling
2,3.9672942941795846,ThompsonSampling
2,2.4046209724936918,ThompsonSampling
2,2.924964117416376,ThompsonSampling
2,3.114490642392298,ThompsonSampling
2,4.625905723621555,ThompsonSampling
2,2.798996136133617,ThompsonSampling
2,4.594961073507572,ThompsonSampling
2,3.327838153965662,ThompsonSampling
2,3.5248943494015847,ThompsonSampling
2,4.493218453194892,ThompsonSampling
2,2.4719245767321447,ThompsonSampling
2,3.5796193514505195,ThompsonSampling
2,3.202873124036735,ThompsonSampling
2,3.9107231662197184,ThompsonSampling
2,4.106222423832621,ThompsonSampling
2,4.716688668092219,ThompsonSampling
2,4.589929791888365,ThompsonSampling
2,2.610680465238882,ThompsonSampling
2,2.7007366016260113,ThompsonSampling
2,2.5621297948541244,ThompsonSampling
2,1.0662247528518718,ThompsonSampling
2,3.4022034112953783,ThompsonSampling
2,1.8731318085334745,ThompsonSampling
2,2.064239224917507,ThompsonSampling
2,3.7773203843598937,ThompsonSampling
2,4.057112480727955,ThompsonSampling
2,1.788569304313137,ThompsonSampling
2,2.6594722019669885,ThompsonSampling
2,2.9863968569566626,ThompsonSampling
2,2.2646358279970737,ThompsonSampling
2,2.252170139396028,ThompsonSampling
2,2.9551806311737803,ThompsonSampling
2,4.082974824427117,ThompsonSampling
2,4.485086433976901,ThompsonSampling
2,1.7565049794037704,ThompsonSampling
2,3.2268669091299103,ThompsonSampling
2,2.9342310093654373,ThompsonSampling
2,4.489385183742701,ThompsonSampling
2,4.037988179272706,ThompsonSampling
2,4.159340227545577,ThompsonSampling
2,4.597429861645017,ThompsonSampling
2,4.262635305724384,ThompsonSampling
2,3.2921464754299543,ThompsonSampling
2,3.8842623467286295,ThompsonSampling
2,2.696279184026266,ThompsonSampling
2,2.707868525364563,ThompsonSampling
2,3.224360792765401,ThompsonSampling
2,2.317975879266874,ThompsonSampling
2,2.877917191038715,ThompsonSampling
2,4.868616441973024,ThompsonSampling
2,2.453436226123599,ThompsonSampling
2,2.5711583414330224,ThompsonSampling
2,3.616754167667222,ThompsonSampling
2,4.26659061148695,ThompsonSampling
2,2.073828891721069,ThompsonSampling
2,1.4095061660977242,ThompsonSampling
2,1.460086194853029,ThompsonSampling
2,2.693508944421761,ThompsonSampling
2,1.7816805479924567,ThompsonSampling
2,4.12459758123623,ThompsonSampling
